player_id,match_id,rating,won,goals_scored,goals_conceded,possession,normalized_skill_gap,ragequit_flag,matches_this_week,session_match_number,losing_streak,winning_streak,ragequit_rate_historical,win_rate_last10,recency_days,matches_last_week
P1000_A,1000,7.2,1,11,7,18211,0.15384615384615394,0,7,3,0,0,0.07697122560644568,0.3762410405595646,4,9
P1000_H,1000,6.8,0,7,11,16308,0.15384615384615394,0,4,1,0,0,0.2683968622967554,0.27951597201763856,12,2
P1001_A,1001,6.8,1,5,2,16444,0.07692307692307697,0,11,1,0,3,0.212211552207397,0.7726776949730148,21,10
P1001_H,1001,6.6,0,2,5,14119,0.07692307692307697,0,8,1,3,0,0.10365294377819188,0.42963997494106493,11,6
P1002_A,1002,7.6,0,4,6,16144,0.1538461538461536,1,5,8,5,0,0.06954071828965155,0.30393713028567704,17,5
P1002_H,1002,7.2,1,6,4,16044,0.1538461538461536,0,7,4,0,3,0.0534114896487081,0.5734207747464863,10,9
P1003_A,1003,7.2,1,11,4,19407,0.23076923076923092,1,10,2,0,0,0.09404891103293407,0.4389383558127341,0,7
P1003_H,1003,6.6,0,4,11,15011,0.23076923076923092,0,3,6,3,0,0.03766199498529721,0.3307775498362112,28,4
P1004_A,1004,7.0,1,8,3,18042,0.2307692307692306,0,7,2,0,4,0.0436044438293835,0.2346028277119384,1,6
P1004_H,1004,6.4,0,3,8,14517,0.2307692307692306,0,11,2,3,0,0.23298729069083896,0.2554806960715537,1,2
P1005_A,1005,7.4,1,6,1,17381,0.3076923076923079,1,11,3,0,3,0.019128063875129497,0.5379905880706806,12,0
P1005_H,1005,6.6,0,1,6,13653,0.3076923076923079,0,8,4,4,0,0.13178648394873183,0.6502076786087303,8,6
P1006_A,1006,7.0,1,8,8,16577,0.0,0,5,1,0,4,0.1214996506170429,0.7554708955167644,22,2
P1006_H,1006,7.0,0,8,8,17833,0.0,0,4,3,2,0,0.2880573116471007,0.551260415496543,15,6
P1007_A,1007,6.2,0,4,9,14677,0.30769230769230754,1,8,6,4,0,0.13966250203620814,0.5916283863711127,20,5
P1007_H,1007,7.0,1,9,4,17759,0.30769230769230754,0,8,2,0,3,0.04825660953169697,0.34519163956940924,15,10
P1008_A,1008,6.6,1,6,6,15961,0.15384615384615394,0,3,7,0,4,0.026521408172137904,0.36461789475514317,8,8
P1008_H,1008,7.0,0,6,6,16158,0.15384615384615394,0,6,1,2,0,0.21973158201450751,0.4505385847094304,23,9
P1009_A,1009,7.0,1,5,4,15665,0.0,0,5,8,0,1,0.04432093352798686,0.7212409869869321,25,0
P1009_H,1009,7.0,0,4,5,16147,0.0,0,2,4,0,0,0.2813949325160015,0.46120977467030255,6,8
P100_A,100,7.0,1,8,5,16907,0.07692307692307697,0,8,5,0,2,0.16776399885453908,0.3437807066433118,20,1
P100_H,100,6.8,0,5,8,15383,0.07692307692307697,1,12,8,3,0,0.12050897611624094,0.751698562257779,7,1
P1010_A,1010,7.0,1,5,6,16046,0.0,0,6,2,0,0,0.20529980243093746,0.44686137624043243,9,1
P1010_H,1010,7.0,0,6,5,17065,0.0,0,2,2,2,0,0.0596784228204465,0.2477061742504456,20,8
P1011_A,1011,7.2,0,7,8,16470,0.07692307692307697,0,12,2,3,0,0.11467725519637134,0.5272850503606852,12,10
P1011_H,1011,7.0,1,8,7,17287,0.07692307692307697,0,5,2,0,4,0.010024154993164258,0.5758613782111421,10,10
P1012_A,1012,6.6,0,4,6,15498,0.23076923076923092,1,1,1,4,0,0.2633034499019079,0.7732304432366108,27,6
P1012_H,1012,7.2,1,6,4,15997,0.23076923076923092,0,12,4,0,3,0.12757712192989015,0.6839592029499271,20,0
P1013_A,1013,7.4,0,3,3,16310,0.15384615384615394,0,10,8,0,0,0.2276475577268227,0.2606678773070161,13,9
P1013_H,1013,7.0,1,3,3,15387,0.15384615384615394,1,6,3,0,2,0.2750564402017135,0.5071550128031355,4,0
P1014_A,1014,6.8,0,8,5,16844,0.07692307692307697,0,12,1,4,0,0.1958379418686497,0.4604683025351352,17,6
P1014_H,1014,7.0,1,5,8,16313,0.07692307692307697,0,9,4,0,5,0.11272401018551259,0.4360661865833398,15,10
P1015_A,1015,7.0,1,3,4,14954,0.0,1,1,8,0,0,0.18585854513032526,0.2838879088760461,24,9
P1015_H,1015,7.0,0,4,3,15987,0.0,0,11,3,4,0,0.10809931435673525,0.4252025879260316,25,0
P1016_A,1016,7.0,0,8,7,18640,0.2307692307692306,0,11,2,4,0,0.170194191773727,0.4820538371173775,5,10
P1016_H,1016,6.4,1,7,8,16304,0.2307692307692306,0,10,4,0,1,0.1296495971147572,0.3313239225025518,11,9
P1017_A,1017,7.2,0,12,10,19430,0.15384615384615394,0,12,2,0,0,0.044960526461183425,0.5455134436271201,12,6
P1017_H,1017,6.8,1,10,12,18177,0.15384615384615394,1,12,7,0,2,0.23403034421907798,0.33276897981328696,1,1
P1018_A,1018,6.8,0,4,7,14642,0.07692307692307697,0,3,4,3,0,0.14892571687578784,0.2727909529567798,29,7
P1018_H,1018,7.0,1,7,4,17493,0.07692307692307697,0,12,6,0,2,0.057042796256483105,0.7903911140920641,16,9
P1019_A,1019,6.6,0,3,12,14094,0.23076923076923092,1,7,5,1,0,0.26754890195199915,0.6130406026788111,19,2
P1019_H,1019,7.2,1,12,3,19443,0.23076923076923092,0,4,2,0,5,0.2559656171255421,0.5568788601129511,19,7
P101_A,101,7.0,1,8,6,17147,0.15384615384615394,1,9,2,0,3,0.16764784497970134,0.39650228573984014,20,2
P101_H,101,6.6,0,6,8,15777,0.15384615384615394,0,3,2,3,0,0.2910956030767413,0.3250040364177773,3,3
P1020_A,1020,7.0,1,5,4,16590,0.15384615384615394,0,5,6,0,4,0.2781510802781433,0.27889762956634256,0,2
P1020_H,1020,6.6,0,4,5,14920,0.15384615384615394,0,3,1,1,0,0.2691017513738523,0.23757436803781284,30,10
P1021_A,1021,6.6,1,8,9,17286,0.07692307692307697,0,7,3,0,1,0.039987532755237865,0.6198275824792554,17,7
P1021_H,1021,6.8,0,9,8,17511,0.07692307692307697,0,5,2,5,0,0.0883888693856192,0.3657215288761626,11,10
P1022_A,1022,6.8,0,5,9,16360,0.0,0,9,2,0,0,0.12305706459294757,0.3908752119522172,5,9
P1022_H,1022,6.8,1,9,5,16819,0.0,0,7,8,0,1,0.24957278150037326,0.2965942035761108,10,3
P1023_A,1023,7.0,0,6,3,16830,0.07692307692307697,0,2,8,2,0,0.2613707285120658,0.27029832577814183,30,8
P1023_H,1023,6.8,1,3,6,14703,0.07692307692307697,0,4,1,0,3,0.2254455588709986,0.4969968919818741,25,0
P1024_A,1024,7.0,0,5,7,16226,0.15384615384615394,0,9,1,3,0,0.1417197868449596,0.6365088484028403,8,3
P1024_H,1024,7.4,1,7,5,16801,0.15384615384615394,0,12,5,0,5,0.04857034525798874,0.7945594387281147,7,3
P1025_A,1025,7.2,1,5,4,16583,0.0,0,2,4,0,1,0.010558858329967525,0.403698410630815,22,1
P1025_H,1025,7.2,0,4,5,16254,0.0,0,10,2,3,0,0.2097907065421808,0.598303211714524,22,6
P1026_A,1026,7.0,0,6,4,17853,0.07692307692307697,1,9,4,3,0,0.2982462226838007,0.2696396588860509,16,2
P1026_H,1026,6.8,1,4,6,15478,0.07692307692307697,0,10,7,0,0,0.10364163578164898,0.5334059110663009,4,5
P1027_A,1027,7.0,0,10,5,17986,0.2307692307692306,1,5,1,0,0,0.1706195708371821,0.510849461891167,29,4
P1027_H,1027,6.4,1,5,10,15363,0.2307692307692306,0,2,1,0,2,0.24317456014118932,0.2192346672679426,3,9
P1028_A,1028,6.4,0,8,9,16904,0.07692307692307664,0,4,5,4,0,0.05594447977216289,0.4897918634962435,4,8
P1028_H,1028,6.6,1,9,8,17121,0.07692307692307664,0,12,3,0,4,0.24886710283789004,0.4972600548669566,27,9
P1029_A,1029,7.4,1,13,5,19229,0.4615384615384615,0,12,6,0,0,0.1876029334578843,0.4232115298713621,14,3
P1029_H,1029,6.2,0,5,13,15069,0.4615384615384615,1,7,6,2,0,0.17095449267652596,0.5441279172356142,5,4
P102_A,102,7.0,1,6,4,16311,0.15384615384615394,0,12,6,0,0,0.22868450495369586,0.22733930778554523,21,6
P102_H,102,6.6,0,4,6,14805,0.15384615384615394,0,8,1,3,0,0.07228456252865585,0.7066678076457076,25,7
P1030_A,1030,6.8,1,5,5,16389,0.1538461538461536,0,3,2,0,0,0.18443412120379127,0.5123075103867015,28,5
P1030_H,1030,6.4,0,5,5,15891,0.1538461538461536,0,1,8,4,0,0.07211287604361065,0.21928964535969797,28,0
P1031_A,1031,7.2,1,9,1,17816,0.23076923076923092,0,4,5,0,4,0.05386062241539495,0.7902608206635449,4,6
P1031_H,1031,6.6,0,1,9,13316,0.23076923076923092,0,2,3,3,0,0.18700639130197438,0.42905155275531254,12,1
P1032_A,1032,7.2,1,4,6,15999,0.15384615384615394,0,8,7,0,3,0.08078433047182769,0.7920366682852436,18,8
P1032_H,1032,6.8,0,6,4,15956,0.15384615384615394,1,4,6,2,0,0.214313751954217,0.30819929442853455,2,3
P1033_A,1033,7.2,0,3,3,16304,0.07692307692307697,1,2,5,1,0,0.15434563182440425,0.21798330606938682,7,9
P1033_H,1033,7.0,1,3,3,15661,0.07692307692307697,0,6,8,0,3,0.20848612884570336,0.6280303047297782,13,7
P1034_A,1034,6.6,0,5,6,15583,0.15384615384615394,0,6,8,1,0,0.2674856553456351,0.767255187478616,14,3
P1034_H,1034,7.0,1,6,5,16789,0.15384615384615394,0,10,1,0,5,0.041473813350348755,0.24655509170390985,7,6
P1035_A,1035,7.4,1,12,5,19876,0.3076923076923079,0,4,6,0,3,0.0200215943663139,0.6413157837120793,28,10
P1035_H,1035,6.6,0,5,12,16347,0.3076923076923079,1,6,3,3,0,0.11997507442004579,0.24152334842851292,27,9
P1036_A,1036,6.8,1,6,3,16024,0.0,0,2,7,0,3,0.21501230147005115,0.6763446300089377,7,8
P1036_H,1036,6.8,0,3,6,14901,0.0,1,10,4,2,0,0.26584544575338387,0.5487590971194144,12,5
P1037_A,1037,6.8,1,7,8,15922,0.07692307692307697,0,12,8,0,0,0.01043832141793004,0.6690940082324722,26,0
P1037_H,1037,7.0,0,8,7,17018,0.07692307692307697,0,2,8,4,0,0.23788744681806429,0.42288999331083177,22,7
P1038_A,1038,7.4,1,13,8,21561,0.3076923076923079,0,10,7,0,5,0.022625137104182614,0.743230613266183,26,1
